Nombre del apartamento;URL;Precio;Area;Habitaciones;Baños;CONTACTO
Apartamento en Arriendo, San Francis…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-la-acacia-2-habitaciones-1-banos/3222-M4142044;$700.000;50 m²;2;1;Contactar
Apartamento en Arriendo, Villa Teresit…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-villa-teresita-2-habitaciones-1-banos/164-M3604605;$700.000;55 m²;2;1;Contactar
Apartamento en Arriendo, SANTA BAR…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-las-cruces-2-habitaciones-1-banos/11109-M2619380;$700.000;30 m²;2;1;Contactar
Apartamento en Arriendo, Marco Fidel …;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-granjas-san-pablo-2-habitaciones-1-banos/3222-M4717344;$700.000;38 m²;2;1;Contactar
Apartamento en Arriendo, Bosa Porve…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-el-corzo-2-habitaciones-1-banos/133-M4539764;$700.000;40 m²;2;1;Contactar
Apartamento en Arriendo, ingles, Bogo…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-ingles-2-habitaciones-1-banos/4058-M3134709;$700.000;60 m²;2;1;Contactar
Apartamento en Arriendo, INGLES, Bo…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-ingles-2-habitaciones-1-banos/4058-M3041295;$700.000;60 m²;2;1;Contactar
Apartamento en Arriendo, SAN CRISTO…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-san-cristobal-norte-2-habitaciones-1-banos/4058-M3300178;$700.000;45 m²;2;1;Contactar
Apartamento en Arriendo, san cristoba…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-san-cristobal-norte-2-habitaciones-1-banos/4058-M3215799;$700.000;45 m²;2;1;Contactar
Apartamento en Arriendo, INGLES, Bo…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-ingles-2-habitaciones-1-banos/4058-M3151044;$700.000;60 m²;2;1;Contactar
Apartamento en Arriendo, SAN CRISTO…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-san-cristobal-norte-2-habitaciones-1-banos/4058-M3327958;$700.000;45 m²;2;1;Contactar
Apartamento en Arriendo, BOCHICA III,…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-ub-bochica-iii-iv-2-habitaciones-1-banos/4058-M3870380;$700.000;65 m²;2;1;Contactar
Apartamento en Arriendo, EL INGLES, …;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-ingles-2-habitaciones-1-banos/4058-M4400886;$700.000;60 m²;2;1;Contactar
Apartamento en Arriendo, INGLES, Bo…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-ingles-2-habitaciones-1-banos/4058-M3083812;$700.000;60 m²;2;1;Contactar
Apartamento en Arriendo, Berlin De Bo…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-florida-blanca-2-habitaciones-2-banos/164-M4586823;$700.000;38 m²;2;2;Contactar
Apartamento en Arriendo, San Martin, …;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-la-libertad-2-habitaciones-1-banos/164-M4589126;$700.000;48 m²;2;1;Contactar
Apartamento en Arriendo, Engativa, B…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-la-faena-2-habitaciones-1-banos/11813-M4754332;$700.000;50 m²;2;1;Contactar
Apartamento en Arriendo, san cristoba…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-san-cristobal-norte-2-habitaciones-1-banos/4058-M3223046;$700.000;45 m²;2;1;Contactar
Apartamento en Arriendo, INGLES, Bo…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-ingles-2-habitaciones-1-banos/4058-M3068722;$700.000;60 m²;2;1;Contactar
Apartamento en Arriendo, INGLES, Bo…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-ingles-2-habitaciones-1-banos/4058-M3076865;$700.000;60 m²;2;1;Contactar
Apartamento en Arriendo, INGLES, Bo…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-ingles-2-habitaciones-1-banos/4058-M3061509;$700.000;60 m²;2;1;Contactar
Apartamento en Arriendo, SAN CRISTO…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-san-cristobal-norte-2-habitaciones-1-banos/4058-M3205084;$700.000;45 m²;2;1;Contactar
Apartamento en Arriendo, INGLES, Bo…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-ingles-2-habitaciones-1-banos/4058-M3053601;$700.000;60 m²;2;1;Contactar
Apartamento en Arriendo, Ciudad Verd…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-acevedo-tejada-2-habitaciones-1-banos/183-M4716635;$720.000;47 m²;2;1;Contactar
Apartamento en Arriendo, Perdomo, B…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-cr-la-balvanera-2-habitaciones-1-banos/991-M4753438;$720.000;36.66 m²;2;1;Contactar
Apartamento en Arriendo, Villas De Gr…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-playas-de-jaboque-2-habitaciones-1-banos/164-M3045341;$720.000;47 m²;2;1;Contactar
Apartamento en Arriendo, Bosa Brasil, …;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-el-porvenir-2-habitaciones-1-banos/639-M4733766;$730.000;40 m²;2;1;Contactar
Apartamento en Arriendo, Bosa Brasil …;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-villa-anita-2-habitaciones-1-banos/2214-M4730400;$730.000;48 m²;2;1;Contactar
Apartamento en Arriendo, Tintala, Bog…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-ub-arboral-2-habitaciones-2-banos/10366-M4753549;$734.000;47 m²;2;2;Contactar
